Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
469	Spider-Man / Spider-Man 1 / Studios	1374-1	Green Goblin	2002	9	14.3 x 14.3 x 4.7
388	Building Set with People / Traffic	214-1	Road Repair	1977	6.6	16.2 x 10.2 x 3.9
395	Samsonite / Model Maker / Traffic	310-1	Motorized Truck Set	1969	?	40 x 25 x 5.5
422	Universal Building Set / Basic	537-1	Basic Building Set	1987	?	? x ? x ?
277	Legoland / Hospital	770-1	Rescue Set	1976	?	? x ? x ?
423	Classic / Vehicle / Airport	303-2	Aeroplane	1964	?	? x ? x ?
423	Classic / Building	325-3	Shell Service Station	1966	3.3	? x ? x ?
85	Homemaker	266-1	Child's Bedroom	1974	6.6	20 x 20 x 4.8
85	Homemaker	275-1	Table and Chairs	1974	3.4	9.9 x 9.9 x 4.9
277	Legoland / Construction	655-1	Mobile Hydraulic Hoist	1973	3.4	15 x 6.5 x 4.5
277	Legoland / Construction	682-1	Low-Loader and Tractor	1971	3.4	? x ? x ?
277	Legoland / Gas Station	373-1	Offshore Rig with Fuel Tanker	1977	20	40 x 27 x 5
277	Legoland / Building	550-2	Windmill	1976	10	? x ? x ?
277	Legoland / Fire	570-1	Fire House	1973	?	? x ? x ?
422	Universal Building Set / Basic	1701-1	Basic Building Set Trial Size	1994	?	14.3 x 7 x 4.7
78	Freestyle	1846-1	Freestyle Set polybag	1996	?	? x ? x ?
422	Universal Building Set / Basic Set	1845-1	20th Anniversary Jackpot Bucket	1993	24.22	? x ? x ?
422	Universal Building Set / Basic Set	3026-1	25th Anniversary Silver Tub	1998	?	? x ? x ?
395	Samsonite / Supplemental	047-1	Gates and Fences plus one 10 x 10 stud red base plate	1967	?	? x ? x ?
166	Educational & Dacta / Soft Bricks	9022-1	Extra Soft Bricks	1999	?	? x ? x ?
166	Educational & Dacta / Soft Bricks	9021-1	Medium set of Soft Bricks	1999	?	? x ? x ?
422	Universal Building Set / Classic Basic	1194-1	Classic Building Table	1999	?	? x ? x ?
422	Universal Building Set / Classic Basic	3040-1	Challenger Set 200	1998	?	19 x 14.2 x 5.8
422	Universal Building Set / Classic Basic	4214-1	Medium Bucket - My Little Farm	1998	?	? x ? x ?
422	Universal Building Set / Classic Basic	4220-1	Large Box of Bricks	1998	?	? x ? x ?
422	Universal Building Set / Classic Basic	4226-1	Building Monsters	1998	?	? x ? x ?
